abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
ACU,#b1b3b3,,ACU,Abilene Chrstn,fcs,#592d82,UAC,2000,12000,Abilene,US,False,520.9,False,32.472275,-99.710464,Wildcat Stadium (TX),TX,America/Chicago,5440,2017,79601,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,,Wildcats,Abilene Christian,@ACUFootball
ADST,,,ADST,Adams St,ii,,Rocky Mountain,2001,2800,Alamosa,US,False,,,37.5780995,-105.7890452,Rex Stadium,CO,,5866,,81101,http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png,,Grizzlies,Adams State,
ADR,,,ADR,Adrian,iii,,Michigan,2003,3000,Adrian,US,False,,,41.8975152,-84.0373054,Docking Stadium,MI,,5787,,49221,http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png,,Bulldogs,Adrian,
SH,,,SH,Sieheights,,,,2562,,,,,,,,,,,,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2562.png,,Saints,Adrian,
AFA,#ffffff,,AFA,Air Force,fbs,#004a7b,Mountain West,2005,46692,Colorado Springs,US,False,2024.875732,False,38.9969701,-104.8436165,Falcon Stadium,CO,America/Denver,3713,1962,80840,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png,,Falcons,Air Force,@AF_Football
AKR,#84754e,,AKR,Akron,fbs,#00285e,Mid-American,2006,30000,Akron,US,False,321.2875061,False,41.0725534,-81.5083408,InfoCision Stadium,OH,America/New_York,3768,2009,44399,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,,Zips,Akron,@ZipsFB
,,,,,,,,1001035,,,,,,,,,,,,,,,,,,Akron Westfield Senior,
ALA,#ffffff,,ALA,Alabama,fbs,#9e1632,SEC,333,101821,Tuscaloosa,US,False,70.05136108,True,33.2082752,-87.5503836,Bryant-Denny Stadium,AL,America/Chicago,3657,1929,35487,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,,Crimson Tide,Alabama,@AlabamaFTBL
AAMU,#ffffff,,AAMU,Alabama A&M,fcs,#790000,SWAC,2010,21000,Huntsville,US,False,214.9181061,False,34.7835363,-86.5784132,Louis Crews Stadium,AL,America/Chicago,3809,1996,35810,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png,,Bulldogs,Alabama A&M,@AAMUFB
ALST,#0a0a0a,,ALST,Alabama St,fcs,#e9a900,SWAC,2011,26500,Montgomery,US,False,79.35839844,False,32.3642223,-86.2896902,Hornet Stadium,AL,America/Chicago,4582,2012,36106,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,,Hornets,Alabama State,@BamaStateFB
