conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
SEC,2000,2,Auburn,9,6,3,0,7,7,0,0,4,2,2,0,13,9,4,0
Conference USA,2000,5,UAB,6,3,3,0,6,4,2,0,5,3,2,0,11,7,4,0
SEC,2000,8,Arkansas,8,3,5,0,7,5,2,0,4,1,3,0,12,6,6,0
Pac-10,2000,9,Arizona State,8,3,5,0,6,3,3,0,5,3,2,0,12,6,6,0
Pac-10,2000,12,Arizona,8,3,5,0,6,2,4,0,5,3,2,0,11,5,6,0
Mountain West,2000,21,San Diego State,7,3,4,0,5,0,5,0,6,3,3,0,11,3,8,0
Western Athletic,2000,23,San José State,8,5,3,0,5,3,2,0,7,4,3,0,12,7,5,0
Pac-10,2000,24,Stanford,8,4,4,0,6,3,3,0,5,2,3,0,11,5,6,0
Pac-10,2000,25,California,8,2,6,0,5,2,3,0,6,1,5,0,11,3,8,0
Pac-10,2000,26,UCLA,8,3,5,0,7,5,2,0,4,1,3,0,12,6,6,0
Pac-10,2000,30,USC,8,2,6,0,8,3,5,0,4,2,2,0,12,5,7,0
Mountain West,2000,36,Colorado State,7,6,1,0,6,6,0,0,5,3,2,0,12,10,2,0
Big 12,2000,38,Colorado,8,3,5,0,5,1,4,0,6,2,4,0,11,3,8,0
FBS Independents,2000,41,UConn,2,0,2,0,5,1,4,0,6,2,4,0,11,3,8,0
ACC,2000,52,Florida State,8,8,0,0,7,7,0,0,5,4,1,0,13,11,2,0
SEC,2000,57,Florida,9,8,1,0,7,7,0,0,4,2,2,0,13,10,3,0
FBS Independents,2000,58,South Florida,2,1,1,0,6,6,0,0,5,1,4,0,11,7,4,0
ACC,2000,59,Georgia Tech,8,6,2,0,6,5,1,0,5,4,1,0,12,9,3,0
SEC,2000,61,Georgia,8,5,3,0,6,5,1,0,5,2,3,0,12,8,4,0
Western Athletic,2000,62,Hawai'i,8,2,6,0,8,3,5,0,4,0,4,0,12,3,9,0
Big 12,2000,66,Iowa State,8,5,3,0,6,4,2,0,5,4,1,0,12,9,3,0
Big West,2000,68,Boise State,5,5,0,0,5,5,0,0,6,4,2,0,12,10,2,0
Big West,2000,70,Idaho,5,3,2,0,4,3,1,0,7,2,5,0,11,5,6,0
Big Ten,2000,77,Northwestern,8,6,2,0,6,5,1,0,5,3,2,0,12,8,4,0
Big Ten,2000,84,Indiana,8,2,6,0,6,3,3,0,5,0,5,0,11,3,8,0
FBS Independents,2000,87,Notre Dame,1,1,0,0,7,6,1,0,4,3,1,0,12,9,3,0
SEC,2000,96,Kentucky,8,0,8,0,6,2,4,0,5,0,5,0,11,2,9,0
Conference USA,2000,97,Louisville,7,6,1,0,7,6,1,0,4,3,1,0,12,9,3,0
SEC,2000,99,LSU,8,5,3,0,7,6,1,0,4,1,3,0,12,8,4,0
Big East,2000,103,Boston College,7,3,4,0,6,5,1,0,5,1,4,0,12,7,5,0
